000219022,經濟學                                                      ,四D56         ,翁永和                                                                                                 ,1,1,是
000219032,經濟學,五234         ,王信實                                                                                                 ,2,2,否
000219042,經濟學,五D56         ,陳心蘋                                                                                                 ,3,3,是
000219052,經濟學                                                      ,四234         ,李文傑                                                                                                 ,4,4,否
000219082,經濟學,三234         ,廖郁萍                                                                                                 ,5,5,是
000219112,經濟學,三D56         ,彭喜樞                                                                                                 ,1,1,否
000347041,財務管理,二D56         ,盧敬植                                                                                                 ,2,2,是
000347051,財務管理,三D56         ,黃嘉威                                                                                                 ,3,3,否
000347111,財務管理,五234         ,黃慶堂                                                                                                 ,4,4,是
000347121,財務管理,三234         ,屠美亞                                                                                                 ,5,5,否
000348001,管理學                                                      ,二D56         ,張彥成                                                                                                 ,1,1,是
000348011,管理學                                                      ,一D56         ,翁玲華                                                                                                 ,2,2,否
000348021,管理學                                                      ,二D56         ,傅浚映                                                                                                 ,3,3,是
000348031,管理學                                                      ,四EFG         ,黃國峯、謝宏明                                                                                             ,4,4,否
000348041,管理學                                                      ,一EFG         ,廖經維                                                                                                 ,5,5,是
000348051,管理學                                                      ,二EFG         ,李瓊淑                                                                                                 ,1,1,否
000348061,管理學                                                      ,三EFG         ,林呈欣                                                                                                 ,2,2,是
000348071,管理學                                                      ,三D56         ,林介勝                                                                                                 ,3,3,否
000348081,管理學                                                      ,一78E         ,張聰本                                                                                                 ,4,4,是
000348091,管理學                                                      ,四D56         ,陳怡安、黃國峯                                                                                             ,5,5,否
000348101,管理學                                                      ,二234         ,玎公明、范思美                                                                                             ,1,1,是
000350001,行銷管理                                                    ,二234         ,白佩玉                                                                                                 ,2,2,否
000350011,行銷管理                                                    ,一D56         ,陳冠儒                                                                                                 ,3,3,是
000350021,行銷管理                                                    ,三D56         ,陳建維                                                                                                 ,4,4,否
000350031,行銷管理                                                    ,一D56         ,鄭濬浩                                                                                                 ,5,5,是
000351001,投資學                                                      ,一D56         ,李志宏                                                                                                 ,1,1,否
000351021,投資學                                                      ,一D56         ,陳鴻毅                                                                                                 ,2,2,是
000351031,投資學                                                      ,二234         ,林靖庭                                                                                                 ,3,3,否
000351061,投資學                                                      ,五234         ,車倫周                                                                                                 ,4,4,是
000351071,投資學,二234         ,車倫周                                                                                                 ,5,5,否
000358011,資料分析與程式設計入門,二D56         ,張欣綠                                                                                                 ,1,1,是
000358021,資料分析與程式設計入門,四D56         ,杜雨儒                                                                                                 ,2,2,否
000358031,資料分析與程式設計入門,三78E         ,余千智                                                                                                 ,3,3,是
000358041,資料分析與程式設計入門,二78E         ,楊亨利                                                                                                 ,4,4,否
000358051,資料分析與程式設計入門,五D56         ,吳雅鈴                                                                                                 ,5,5,是
000359231,統計學（一）,四D56         ,黃佳慧                                                                                                 ,1,1,否
000360011,統計學（二）,二234         ,楊素芬                                                                                                 ,2,2,是
000360021,統計學（二）,二234         ,劉惠美                                                                                                 ,3,3,否
000360031,統計學（二）,二234         ,翁久幸                                                                                                 ,4,4,是
002311041,體育[男女合班]—足球初級,二78          ,林貴彬                                                                                                 ,5,5,否
002312001,體育[男]—男體適能                                          ,三34          ,林文乙                                                                                                 ,1,1,是
002325001,體育[男女合班]—排球中級                                    ,三78          ,吳高讚                                                                                                 ,2,2,否
002325011,體育[男女合班]—排球中級                                    ,四78          ,吳高讚                                                                                                 ,3,3,是
002327001,體育[男女合班]—排球初級                                    ,一78          ,吳高讚                                                                                                 ,4,4,否
